PROPERTYADDRESS,PROPERTYCITY,PROPERTYZIP,MUNIDESC,SCHOOLDESC,NEIGHDESC,TAXDESC,OWNERDESC,CLASSDESC,USEDESC,LOTAREA,HOMESTEADFLAG,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALEDESC,PREVSALEDATE,PREVSALEPRICE,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLEDESC,STORIES,YEARBLT,EXTFINISH_DESC,ROOFDESC,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE
BRIGHTWOOD AVE,PITTSBURGH,15229,West View  ,North Hills,86403,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,8795,,,12-18-2013,12-18-2013,79500.0,SALE NOT ANALYZ,05-03-1985,45000.0,71600,26300,97900,0,71600,26300,97900,71600,26300,97900,CAPE COD,1.5,1945.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,1.0,1.0
MIFFLIN AVE,PITTSBURGH,15221,Wilkinsburg  ,Wilkinsburg Boro,WILKINSBURG BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3273,HOM,,09-10-2012,09-10-2012,171400.0,SALE NOT ANALYZ,08-04-2000,89900.0,59900,11600,71500,0,77900,11600,89500,77900,11600,89500,OLD STYLE,2.0,1915.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,4.0,1.0,0.0,Central Heat with AC,0.0,0.0
BERTHA ST,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,VACANT LAND,8000,,,,04-08-1993,1.0,LOVE&AFFECTION,,,0,2900,2900,0,0,2900,2900,0,2900,2900,,,,,,,,,,,,,,,,,,
NOEL DR,MONROEVILLE,15146,Monroeville  ,Monroeville Gateway,MONROEVILLE BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,14605,HOM,,01-31-2008,01-31-2008,96500.0,VALID SALE,04-26-2001,82000.0,44200,30200,74400,0,62200,30200,92400,62200,30200,92400,RANCH,1.0,1958.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,1.0
KOOSER DR,PITTSBURGH,15239,Plum  ,Plum Boro,PLUM BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,12149,HOM,,11-05-2012,11-05-2012,1.0,LOVE&AFFECTION,09-14-2007,156000.0,91200,23100,114300,0,109200,23100,132300,109200,23100,132300,SPLIT LEVEL,1.0,1960.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,2.0,Central Heat with AC,0.0,1.0
THOMAS ST,BRIDGEVILLE,15017,Collier  ,Chartiers Valley,COLLIER TOWNSHIP,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,4911,,,08-16-2012,08-16-2012,1.0,LOVE&AFFECTION,03-16-1993,1.0,37200,22800,60000,0,37200,22800,60000,37200,22800,60000,RANCH,1.0,1930.0,Concrete Block,SHINGLE,Crawl,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat,0.0,0.0
CARLISLE ST,NATRONA HEIGHTS,15065,Harrison  ,Highlands,91602,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,9000,HOM,,07-02-2010,07-02-2010,199000.0,OTHER VALID,08-14-1989,77500.0,115600,26400,142000,0,133600,26400,160000,133600,26400,160000,OLD STYLE,2.0,1935.0,Masonry FRAME,SHINGLE,Full,C,AVERAGE,7.0,VERY GOOD,VERY GOOD,8.0,3.0,3.0,1.0,Central Heat with AC,1.0,0.0
LOCUST DR,CORAOPOLIS,15108,Moon  ,Moon Area,92503,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,62552,HOM,,,04-15-1970,0.0,NOT APPLICABLE,,,76100,38400,114500,0,94100,38400,132500,94100,38400,132500,RANCH,1.0,1955.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,1.0,1.0
HIGHLAND RD,PITTSBURGH,15237,McCandless  ,North Allegheny,92704,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,19479,HOM,,,09-01-1988,85000.0,VALID SALE,,,122000,35700,157700,0,140000,35700,175700,140000,35700,175700,BI-LEVEL,1.0,1979.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,5.0,3.0,2.0,1.0,Central Heat with AC,0.0,2.0
RINGEISEN RD,ALLISON PARK,15101,McCandless  ,North Allegheny,92703,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,25581,HOM,,,07-07-1986,49000.0,VALID SALE,,,80100,46400,126500,0,98100,46400,144500,98100,46400,144500,RANCH,1.0,1950.0,Stucco,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
INGLEWOOD DR,PITTSBURGH,15228,Mt.Lebanon  ,Mt Lebanon,MOUNT LEBANON TOWNSHIP,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,8280,HOM,,05-29-2015,05-28-2015,214500.0,VALID SALE,10-17-2008,158000.0,55300,76100,131400,0,73300,76100,149400,73300,76100,149400,CAPE COD,1.5,1930.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,1.0,Central Heat with AC,1.0,1.0
NORTH BRANCH RD,MC DONALD,15057,North Fayette  ,West Allegheny,92904,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,53056,,,06-16-2016,06-09-2016,1.0,LOVE&AFFECTION,03-21-1966,0.0,261900,33800,295700,0,261900,33800,295700,261900,33800,295700,RANCH,1.0,1964.0,Brick,SHINGLE,Part,B,GOOD,3.0,AVERAGE,AVERAGE,8.0,4.0,3.0,1.0,Central Heat,2.0,0.0
GUYLYN DR,PITTSBURGH,15235,Penn Hills  ,Penn Hills Twp,PENN HILLS TOWNSHIP,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,7255,HOM,,,12-05-2001,54000.0,SALE NOT ANALYZ,05-05-1950,0.0,21300,12200,33500,0,39300,12200,51500,39300,12200,51500,CAPE COD,1.0,1960.0,Brick,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,1.0
LAKEVIEW DR,MC KEES ROCKS,15136,Robinson  ,Montour,93903,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,19530,HOM,,,08-23-1990,155000.0,OTHER INVALID,,,127900,50900,178800,0,145900,50900,196800,145900,50900,196800,COLONIAL,2.0,1979.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,9.0,4.0,2.0,1.0,Central Heat with AC,0.0,2.0
WESTMINSTER PL,PITTSBURGH,15209,Shaler  ,Shaler Area,81201,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,22512,,,03-21-2016,03-14-2016,295000.0,QUIT CLAIM / SPEC WARRNTY,08-24-2011,252000.0,151300,46100,197400,0,151300,46100,197400,151300,46100,197400,COLONIAL,2.0,1993.0,Frame,SHINGLE,Full,C+,AVERAGE +,2.0,GOOD,GOOD,8.0,4.0,2.0,1.0,Central Heat with AC,1.0,2.0
EVE DR,PITTSBURGH,15216,Scott  ,Chartiers Valley,KINGS GRANT,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,CONDOMINIUM,0,HOM,,11-22-2013,11-22-2013,118500.0,SALE NOT ANALYZ,07-19-2010,108500.0,76300,0,76300,0,94300,0,94300,94300,0,94300,CONDO GRDN,1.0,1973.0,Brick,SHINGLE,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,0.0
FIRWOOD DR,BRIDGEVILLE,15017,South Fayette  ,South Fayette Twp,SOUTH FAYETTE TOWNSHIP,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,15000,HOM,,,12-30-1960,0.0,NOT APPLICABLE,,,61200,40200,101400,0,79200,40200,119400,79200,40200,119400,RANCH,1.0,1959.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,1.0
PHILLIPS AVE,GLENSHAW,15116,Shaler  ,Shaler Area,81201,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,16691,HOM,,,05-31-1996,123500.0,OTHER VALID,,,134600,45500,180100,0,152600,45500,198100,152600,45500,198100,SPLIT LEVEL,2.0,1967.0,Masonry FRAME,SHINGLE,Part,C,AVERAGE,3.0,AVERAGE,AVERAGE,8.0,3.0,2.0,1.0,Central Heat with AC,0.0,2.0
BLUESTONE DR,ALLISON PARK,15101,Shaler  ,Shaler Area,94401,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,9425,HOM,,,07-14-1967,0.0,NOT APPLICABLE,,,75400,44700,120100,0,93400,44700,138100,93400,44700,138100,BI-LEVEL,1.0,1967.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat with AC,0.0,2.0
HATHAWAY LN,PITTSBURGH,15241,Upper St. Clair  ,Upper St Clair,UPPER ST. CLAIR TOWNSHIP,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,30276,HOM,,,08-30-2001,1.0,LOVE&AFFECTION,05-08-1992,192500.0,167000,72900,239900,0,185000,72900,257900,185000,72900,257900,COLONIAL,2.0,1975.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,9.0,5.0,2.0,2.0,Central Heat with AC,2.0,2.0
GRANDVIEW AVE,PITTSBURGH,15211,19th Ward - PITTSBURGH,City Of Pittsburgh,TRIMONT PLAZA & MARMONT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,08-27-2014,08-27-2014,784700.0,TIME ON MARKET,03-02-2006,485000.0,694500,0,694500,0,712500,0,712500,712500,0,712500,CONDO HR,1.0,1980.0,Concrete,ROLL,None,X,EXCELLENT,1.0,EXCELLENT,EXCELLENT,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,0.0
BEECHWOOD BLVD,PITTSBURGH,15206,14th Ward - PITTSBURGH,City Of Pittsburgh,11402,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,11622,HOM,,08-05-2008,08-05-2008,1125000.0,VALID SALE,05-13-1991,555000.0,799100,101500,900600,0,817100,101500,918600,817100,101500,918600,COLONIAL,2.0,1975.0,Brick,SHINGLE,Full,X,EXCELLENT,7.0,VERY GOOD,EXCELLENT,12.0,4.0,5.0,2.0,Central Heat with AC,1.0,2.0
CAMELIA ST,PITTSBURGH,15201,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,4000,,,07-22-2016,07-15-2016,0.0,LOVE&AFFECTION,08-01-2012,0.0,48000,31500,79500,0,48000,31500,79500,48000,31500,79500,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Full,C,AVERAGE,4.0,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
LLOYD ST,PITTSBURGH,15208,14th Ward - PITTSBURGH,City Of Pittsburgh,11403,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,3316,HOM,,06-06-2012,06-06-2012,225000.0,SALE NOT ANALYZ,08-28-1967,0.0,126400,74800,201200,0,144400,74800,219200,144400,74800,219200,OLD STYLE,2.0,1916.0,Brick,SHINGLE,Full,C+,AVERAGE +,2.0,GOOD,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,1.0
BERTHA ST,PITTSBURGH,15211,19th Ward - PITTSBURGH,City Of Pittsburgh,11903,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,4350,,,,09-01-1987,1.0,LOVE&AFFECTION,,,49200,13200,62400,0,49200,13200,62400,49200,13200,62400,SEMI DETACHED,2.0,1930.0,Brick,SLATE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,3.0,1.0,1.0,Central Heat,1.0,0.0
CLEARVIEW AVE,PITTSBURGH,15205,28th Ward - PITTSBURGH,City Of Pittsburgh,12802,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2343,HOM,,10-19-2010,10-19-2010,1.0,LOVE&AFFECTION,08-04-2008,85000.0,52900,11800,64700,0,70900,11800,82700,70900,11800,82700,OLD STYLE,2.0,1930.0,Masonry FRAME,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0.0
THEODORE ST,HOMESTEAD,15120,31st Ward - PITTSBURGH,City Of Pittsburgh,13102,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6000,HOM,,09-08-2005,09-08-2005,95000.0,VALID SALE,06-02-2004,35002.0,41000,12100,53100,0,59000,12100,71100,59000,12100,71100,CAPE COD,1.5,1949.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat,0.0,1.0
MCCULLY RD,PITTSBURGH,15234,Castle Shannon  ,Bethel Park,CASTLE SHANNON BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,FOUR FAMILY,24255,,,,01-03-1990,108000.0,VALID SALE,,,180900,36700,217600,0,180900,36700,217600,180900,36700,217600,MULTI-FAMILY,2.0,1950.0,Brick,ROLL,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,20.0,8.0,4.0,0.0,Central Heat,0.0,2.0
E 12TH AVE,HOMESTEAD,15120,Munhall  ,Steel Valley,MUNHALL BOROUGH,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,1200,,,03-07-2012,03-07-2012,8501.0,MULTI-PARCEL SA,04-01-2011,10500.0,4000,5200,9200,0,4000,5200,9200,4000,5200,9200,SEMI DETACHED,2.0,1910.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,6.0,UNSOUND,UNSOUND,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
WHIPPLE ST,PITTSBURGH,15218,Swissvale  ,Woodland Hills,SWISSVALE BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,TWO FAMILY,3000,HOM,,,12-11-1997,75000.0,VALID SALE,,,41000,16000,57000,0,59000,16000,75000,59000,16000,75000,MULTI-FAMILY,2.0,1920.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,8.0,3.0,2.0,1.0,Central Heat,0.0,0.0
AIRBRAKE AVE,WILMERDING,15148,Wilmerding  ,East Allegheny,WILMERDING BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,ROWHOUSE,2749,,,06-04-2010,06-04-2010,1.0,LOVE&AFFECTION,09-24-2003,32000.0,26200,4000,30200,0,26200,4000,30200,26200,4000,30200,ROW END,2.0,1896.0,Brick,SHINGLE,Full,C,AVERAGE,4.0,FAIR,FAIR,5.0,3.0,1.0,0.0,Central Heat,0.0,0.0
TOMFRAN DR,PITTSBURGH,15236,Whitehall  ,Baldwin Whitehall,WHITEHALL BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,8864,,,,09-08-1978,74900.0,VALID SALE,,,103500,47800,151300,0,103500,47800,151300,103500,47800,151300,SPLIT LEVEL,1.0,1962.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,4.0,2.0,1.0,Central Heat with AC,1.0,2.0
FERRY RD,SEWICKLEY,15143,Sewickley Heights  ,Quaker Valley,86901,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,294466,,,12-17-2013,12-17-2013,298000.0,SALE NOT ANALYZ,12-21-2012,270000.0,1174700,323800,1498500,0,1174700,323800,1498500,1174700,323800,1498500,CONTEMPORARY,2.0,2015.0,Frame,SHINGLE,Full,X,EXCELLENT,1.0,EXCELLENT,EXCELLENT,19.0,4.0,4.0,1.0,Central Heat with AC,,
JAMES ST,MONROEVILLE,15146,Monroeville  ,Monroeville Gateway,MONROEVILLE BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,15246,HOM,,,02-16-1983,1.0,LOVE&AFFECTION,,,55700,26300,82000,0,73700,26300,100000,73700,26300,100000,OLD STYLE,2.0,1907.0,Masonry FRAME,SHINGLE,Part,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0.0
KEY WEST DR,PITTSBURGH,15239,Plum  ,Plum Boro,PLUM BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,11980,HOM,,,10-13-2000,93000.0,OTHER VALID,04-24-1975,29500.0,74300,23000,97300,0,92300,23000,115300,92300,23000,115300,SPLIT LEVEL,1.0,1970.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,1.0
PINE VALLEY DR,PITTSBURGH,15239,Plum  ,Plum Boro,PLUM BOROUGH,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,17429,HOM,,,04-18-1985,61000.0,VALID SALE,,,66000,23500,89500,0,84000,23500,107500,84000,23500,107500,BI-LEVEL,1.0,1964.0,Frame,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,1.0,0.0,Central Heat with AC,1.0,1.0
ELM DR,PITTSBURGH,15238,Indiana  ,Fox Chapel Area,91701,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,26984,,,06-10-2016,04-17-2016,1.0,LOVE&AFFECTION,01-06-2011,1.0,97900,76200,174100,0,97900,76200,174100,97900,76200,174100,RANCH,1.0,1958.0,Brick,SHINGLE,Full,C,AVERAGE,2.0,GOOD,GOOD,5.0,3.0,1.0,1.0,Central Heat,0.0,0.0
OVERLOOK DR,PITTSBURGH,15238,Harmar  ,Allegheny Valley,91501,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TOWNHOUSE,10399,HOM,,06-26-2012,06-26-2012,85000.0,DATE OF TRANSFER,,,359700,65800,425500,0,377700,65800,443500,377700,65800,443500,TOWNHOUSE,1.5,2012.0,Brick,SHINGLE,Full,B+,GOOD +,2.0,GOOD,GOOD,7.0,3.0,2.0,1.0,Central Heat with AC,,
CRESTAS AVE,NORTH VERSAILLES,15137,North Versailles  ,East Allegheny,NORTH VERSAILLES TWP,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,MOBILE HOME,12000,HOM,,06-29-2010,06-29-2010,68800.0,OTHER,09-05-2008,0.0,37000,10600,47600,0,55000,10600,65600,55000,10600,65600,MANUFACTURED,1.0,2006.0,Frame,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,,
CHATHAM PARK DR,PITTSBURGH,15216,Scott  ,Chartiers Valley,KINGS GRANT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,,09-06-2002,62000.0,OTHER VALID,12-27-1995,1.0,60800,0,60800,0,78800,0,78800,78800,0,78800,CONDO GRDN,1.0,1973.0,Brick,SHINGLE,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,0.0
OLD INDIAN TRAIL CT,PITTSBURGH,15238,Fox Chapel  ,Fox Chapel Area,86801,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,50965,HOM,,08-17-2005,08-17-2005,750000.0,VALID SALE,04-24-2003,658000.0,629000,178000,807000,0,647000,178000,825000,647000,178000,825000,COLONIAL,2.0,1996.0,Brick,SHINGLE,Full,X,EXCELLENT,7.0,VERY GOOD,VERY GOOD,11.0,5.0,3.0,1.0,Central Heat with AC,2.0,0.0
GREENFIELD AVE,PITTSBURGH,15217,15th Ward - PITTSBURGH,City Of Pittsburgh,11502,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2500,HOM,,11-22-2004,11-22-2004,79000.0,VALID SALE,05-05-1950,0.0,46000,33800,79800,0,64000,33800,97800,64000,33800,97800,OLD STYLE,2.0,1925.0,Brick,SLATE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,2.0,1.0,0.0,Central Heat,0.0,0.0
LOWRIE ST,PITTSBURGH,15212,24th Ward - PITTSBURGH,City Of Pittsburgh,WARD 24 - SPRING HILL-CITY VIEW,20 - Taxable,CORPORATION,RESIDENTIAL,ROWHOUSE,1400,,,02-04-2014,02-04-2014,3500.0,PREV FORECLOSE,12-11-2006,13500.0,5300,4700,10000,0,5300,4700,10000,5300,4700,10000,ROW INTERIOR,3.0,1900.0,Masonry FRAME,ROLL,Full,C,AVERAGE,5.0,POOR,POOR,7.0,3.0,2.0,0.0,Central Heat,0.0,0.0
FANNIE ST,MC DONALD,15057,McDonald  ,McDonald,MCDONALD BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6000,HOM,,,03-10-1998,0.0,OTHER INVALID,11-10-1994,86000.0,63500,26100,89600,0,81500,26100,107600,81500,26100,107600,CAPE COD,1.0,1955.0,Brick,SLATE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,2.0,1.0,Central Heat,1.0,1.0
COLUMBIA AVE,PITTSBURGH,15218,Swissvale  ,Woodland Hills,SWISSVALE BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,ROWHOUSE,1437,HOM,,11-27-2006,11-27-2006,1.0,LOVE&AFFECTION,03-21-1979,15000.0,0,0,0,0,9500,3900,13400,9500,3900,13400,ROW INTERIOR,2.0,1920.0,Concrete Block,SHINGLE,Full,D+,BELOW AVERAGE +,5.0,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
WALNUT ST,PITTSBURGH,15221,Wilkinsburg  ,Wilkinsburg Boro,WILKINSBURG BOROUGH,20 - Taxable,REGULAR,RESIDENTIAL,THREE FAMILY,1117,,,08-25-2008,08-25-2008,19000.0,OTHER,06-27-1990,56175.0,17700,2500,20200,0,17700,2500,20200,17700,2500,20200,MULTI-FAMILY,3.0,1920.0,Brick,ROLL,Full,C-,AVERAGE -,3.0,AVERAGE,POOR,11.0,5.0,3.0,0.0,Central Heat,0.0,0.0
MIDDLEGATE DR,BETHEL PARK,15102,Bethel Park  ,Bethel Park,BETHEL PARK,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,22044,HOM,,,11-17-1992,86000.0,VALID SALE,,,93500,51100,144600,0,111500,51100,162600,111500,51100,162600,SPLIT LEVEL,1.0,1965.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,8.0,3.0,1.0,2.0,Central Heat with AC,1.0,2.0
HIGHLAND AVE,ALLISON PARK,15101,Hampton  ,Hampton Township,91404,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,32594,HOM,,,08-13-2002,240000.0,OTHER VALID,12-18-1985,23500.0,144200,31900,176100,0,162200,31900,194100,162200,31900,194100,COLONIAL,2.0,1986.0,Masonry FRAME,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,9.0,3.0,2.0,1.0,Central Heat with AC,1.0,2.0
EWING RD,CARNEGIE,15106,Collier  ,Chartiers Valley,COLLIER TOWNSHIP,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5300,,,,04-17-1979,0.0,LOVE&AFFECTION,,,38000,28800,66800,0,38000,28800,66800,38000,28800,66800,CAPE COD,1.5,1949.0,Frame,SHINGLE,Part,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,7.0,3.0,1.0,1.0,Central Heat,2.0,0.0
S VIREO DR,MC KEES ROCKS,15136,Kennedy  ,Montour,91903,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6600,HOM,,08-22-2006,08-22-2006,115000.0,VALID SALE,08-15-2001,79000.0,55700,27200,82900,0,73700,27200,100900,73700,27200,100900,COLONIAL,2.0,1950.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,1.0
WOODSHIRE RD,PITTSBURGH,15215,O''Hara  ,Fox Chapel Area,93101,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,19315,HOM,,02-28-2012,02-28-2012,336000.0,SALE NOT ANALYZ,02-09-2010,1.0,229500,88500,318000,0,247500,88500,336000,247500,88500,336000,BI-LEVEL,1.0,1965.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,4.0,2.0,1.0,Central Heat with AC,1.0,2.0
N HOMEWOOD AVE,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,798,,,,07-18-1997,1.0,LOVE&AFFECTION,,,13800,1300,15100,0,13800,1300,15100,13800,1300,15100,ROW INTERIOR,2.0,1930.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
KILMER ST,PITTSBURGH,15221,13th Ward - PITTSBURGH,City Of Pittsburgh,11301,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5400,HOM,,01-31-2003,01-31-2003,39300.0,OTHER VALID,04-01-1977,0.0,5900,5000,10900,0,23900,5000,28900,23900,5000,28900,CONVENTIONAL,1.0,1940.0,Stone,SLATE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,1.0,1.0
STRAUBS LN,PITTSBURGH,15212,24th Ward - PITTSBURGH,City Of Pittsburgh,WARD 24 - SPRING HILL-CITY VIEW,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,1980,,,,10-21-1992,0.0,LOVE&AFFECTION,,,35000,8400,43400,0,35000,8400,43400,35000,8400,43400,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Crawl,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,1.0,Central Heat,0.0,0.0
